Country,Region,Development_level,Least_developed_country,Neonatal mortality rate (per 1000 live births),Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Under-five mortality rate (probability of dying by age 5 per 1000 live births),Column1,Column2,Measure 1 - Expanded Coverage of comprehensive prenatal care,Measure  2 - Expanded Coverage of obstetric care,Measure 3 - Expanded Coverage of Essential post-partum and Newborn care,Measure 4 - Expanded access to effective contraception,"Measure 5 - Expanded Access to safe abortion care, including Post-Abortion care",Measure 6 - Expanded Recruitment and Training of Skilled Birth Attendants
,,,,,,Both Genders,Male,Female,,,,,,
Slovakia,Europe,More dev. region,No,2.8,4.6,5.6,6.2,5.1,1,1,1,0,1,1
Slovenia,Europe,More dev. region,No,1.2,1.7,2.1,2.3,2,0,0,0,0,0,0
Solomon Islands,Oceania,Less dev. region,Yes,8.5,17.6,20.6,22.5,18.5,1,1,1,1,1,1
Somalia,Africa,Less dev. region,Yes,38.5,79.7,127.2,133.2,120.5,1,1,1,1,1,1
South Africa,Africa,Less dev. region,No,10.7,28.8,37.1,40.9,33,1,1,1,1,1,1
South Sudan,Africa,Less dev. region,Yes,39.6,62.5,96.4,100.6,91.7,1,1,1,1,1,1
Spain,Europe,More dev. region,No,1.7,2.6,3.1,3.3,2.8,0,0,0,0,0,0
Sri Lanka,Asia,Less dev. region,No,5.8,7.5,8.8,9.6,8,1,1,1,1,1,0
Sudan,Africa,Less dev. region,Yes,29.5,43.7,63.2,68.3,57.9,1,1,1,1,1,0
Suriname,Latin Amer. & Caribbean,Less dev. region,No,10.2,17.5,19.6,21.8,17.3,0,0,0,0,0,0
Sweden,Europe,More dev. region,No,1.7,2.3,2.8,3.1,2.6,0,0,0,0,0,1
Switzerland,Europe,More dev. region,No,3,3.7,4.2,4.6,3.8,0,0,0,0,0,0
Syrian Arab Republic,Asia,Less dev. region,No,8.7,14,17,18.5,15.5,1,1,1,1,0,1
Tajikistan,Asia,Less dev. region,No,14.5,29.4,33.6,37.2,29.7,1,1,1,1,0,1
Thailand,Asia,Less dev. region,No,5.3,8.2,9.5,10.5,8.5,0,0,0,0,0,0
Republic of North Macedonia,Europe,More dev. region,No,10.5,12,13.7,14.5,12.7,1,1,1,1,1,0
Timor-Leste,Asia,Less dev. region,Yes,20.7,40.8,47.6,51.5,43.5,1,1,1,1,0,1
Togo,Africa,Less dev. region,Yes,25.4,49.2,72.9,78.6,66.9,1,1,1,1,1,1
Tonga,Oceania,Less dev. region,No,6.7,13.7,16,14.2,17.6,0,0,0,1,0,0
Trinidad and Tobago,Latin Amer. & Caribbean,Less dev. region,No,16.6,23.1,26.1,28.5,23.5,1,1,0,0,0,0
Tunisia,Africa,Less dev. region,No,7.5,11.2,13,14.2,11.8,1,1,1,1,0,0
Turkey,Asia,Less dev. region,No,5.9,10,11.6,12.3,11,1,1,1,1,1,1
Turkmenistan,Asia,Less dev. region,No,21.3,40.6,47.3,53.3,41.1,1,1,1,1,0,1
Tuvalu,Oceania,Less dev. region,Yes,16,21,24.9,27.3,22.3,0,1,0,1,0,1
Uganda,Africa,Less dev. region,Yes,20.2,35.4,49,53.8,43.8,1,1,1,1,1,1
Ukraine,Europe,More dev. region,No,5.2,7.5,8.8,9.7,7.8,0,1,1,1,0,1
United Arab Emirates,Asia,Less dev. region,No,4.7,7.8,9.1,10.1,8.1,0,0,0,0,0,0
United Kingdom,Europe,More dev. region,No,2.6,3.7,4.3,4.7,3.9,0,0,0,0,0,0
United Republic of Tanzania,Africa,Less dev. region,Yes,21.1,38.3,54,57.6,50.3,1,1,1,1,1,1
United States of America,Northern America,More dev. region,No,3.6,5.7,6.6,7.2,6,0,0,0,1,0,0
Uruguay,Latin Amer. & Caribbean,Less dev. region,No,4.6,7,8.2,9,7.3,1,1,1,1,1,1
Uzbekistan,Asia,Less dev. region,No,12.1,20,22.5,25.5,19.2,1,1,1,1,0,1
Vanuatu,Oceania,Less dev. region,Yes,11.6,22.6,26.9,29.2,24.5,1,1,1,1,0,1
Venezuela (Bolivarian Republic of),Latin Amer. & Caribbean,Less dev. region,No,19.8,25.7,30.9,34.2,27.4,1,1,1,1,1,1
Viet Nam,Asia,Less dev. region,No,10.6,16.7,20.9,24.2,17.3,1,1,1,1,0,1
Yemen,Asia,Less dev. region,Yes,27,43.2,55.4,59.3,51.4,1,1,1,1,0,1
Zambia,Africa,Less dev. region,Yes,22.2,41.5,60,64.7,55.1,1,1,1,1,1,1
Zimbabwe,Africa,Less dev. region,No,22.4,36.5,50.3,55,45.4,1,1,1,1,1,1
